RLHP Relationship in Household,"Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple",Lone parent,Natural or adopted child under 15,Step child under 15,Foster child under 15,Grandchild under 15,Otherwise related child under 15,Unrelated child under 15,Natural or adopted dependent student,Dependent student step child,Dependent student foster child,"Non-dependent natural, or adopted child",Non-dependent step child,Non-dependent foster child,Brother/sister,Father/mother,Non-dependent grandchild,Grandfather/grandmother,Cousin,Uncle/aunt,Nephew/niece,Other related individual (nec),Unrelated individual living in family household,Group household member,Lone person,Visitor (from within Australia),Other non-classifiable relationship,Not applicable
Fisher,53646,10651,146,273,6274,22692,1428,55,200,76,54,5202,661,11,6622,768,10,977,874,206,89,75,38,96,99,1756,4548,12712,4957,5172,5731
Flinders,49613,9950,126,281,5903,20193,1074,54,171,53,31,5139,611,18,6773,822,9,773,713,182,89,39,33,83,66,893,2233,14562,6348,4987,5611
Flynn,52047,12899,101,183,5566,28485,1872,184,323,133,61,4098,585,25,5950,640,14,982,680,226,98,61,50,119,133,1263,3402,12770,6559,9638,6330
Forde,54346,13701,185,327,8283,31614,2200,168,377,199,136,6340,885,27,9581,1274,9,1772,1461,283,109,138,105,310,188,2627,3898,9748,4651,7353,3254
Forrest,51181,11932,102,204,5797,25888,1555,142,279,102,42,4853,601,16,5714,727,12,812,514,196,79,49,37,79,74,1239,3097,12127,7111,7102,6098
Fowler,57011,4233,101,79,9695,27439,950,70,292,274,142,10634,572,13,16164,838,12,3044,2115,330,145,349,255,699,299,2985,2933,8364,3901,7534,2761
Franklin,35029,8389,138,215,4508,15991,1057,82,161,47,25,3917,527,16,4357,506,6,628,396,150,66,34,14,43,49,641,1856,9980,3837,2858,3533
Fraser,59828,5968,176,173,8893,26102,855,21,301,218,81,10032,486,0,14249,713,0,3059,1513,196,53,452,73,478,252,3435,5423,10371,4290,6940,2208
Fremantle,50772,12177,181,348,5938,24720,1071,48,187,63,45,6349,643,8,7334,678,0,1407,697,206,76,124,59,165,95,1656,4906,13139,4067,6620,4956
Gellibrand,58354,12006,701,653,6308,30369,892,15,113,111,72,7431,561,13,8372,654,6,2109,1002,230,107,223,104,325,119,1925,6294,12984,3819,6517,3433
Gilmore,55410,10206,155,309,6555,20418,1209,276,371,94,47,4533,576,37,6965,789,12,834,835,301,123,39,53,93,85,1190,2923,16169,7120,6418,6288
Gippsland,49127,10713,106,198,6033,21267,1321,126,289,95,67,4773,564,16,6061,676,4,842,461,203,98,38,45,88,73,878,3066,16554,6971,7715,6080
Goldstein,57218,7914,306,273,4814,25398,673,12,67,37,19,9698,607,3,6559,449,4,1038,614,118,71,76,34,143,65,985,3624,13406,3449,4771,5189
Gorton,60232,8959,181,215,7827,36295,1338,55,362,242,95,8791,797,10,10878,1082,3,1972,1459,230,104,224,104,430,200,1728,2651,8292,3555,7281,2863
Grayndler,42621,14256,1528,1458,4931,20709,675,46,89,49,20,4422,340,3,5397,346,4,1856,664,172,91,218,81,219,128,2667,12569,15789,3884,8636,5642
Greenway,68722,6396,160,200,6433,35268,1170,131,251,140,81,9414,724,14,11106,1036,10,1986,1692,231,114,247,92,466,173,2032,3244,7625,2881,4984,3042
Grey,56597,13713,67,156,6701,25617,1556,233,398,202,60,4807,597,30,6738,706,15,971,527,311,109,134,71,170,119,964,2975,20304,8824,7405,7749
Griffith,43432,14131,689,584,4728,21153,801,33,76,54,33,5665,515,9,4599,383,0,2198,490,122,64,179,75,190,88,2839,13210,15756,4669,7077,5929
Groom,52122,9357,126,156,6212,26100,1506,208,272,147,62,5265,550,30,6533,704,7,1208,641,198,80,104,53,117,95,1319,3959,14031,5026,6334,6332
Hasluck,50950,10098,144,250,5984,23455,1201,110,337,125,66,6167,685,24,8060,914,7,1471,862,246,85,150,64,218,139,1725,3318,10971,4043,5359,6398
Herbert,45512,14936,223,359,7758,27469,1924,141,448,211,78,5504,715,14,6647,816,7,1648,882,301,128,134,85,247,183,1820,6220,13922,5421,7635,8601
Higgins,52234,12014,1037,339,4297,21267,472,4,45,39,25,7849,420,0,5446,290,0,2100,543,120,74,203,66,175,87,1857,11610,19635,4231,7011,4754
Hindmarsh,56144,11019,286,421,7497,22129,953,48,180,104,29,7340,643,14,9494,807,4,1846,753,276,121,157,48,191,88,1369,4874,19775,4778,4358,4831
Hinkler,51488,9992,107,168,6931,20881,1549,116,283,93,79,3976,607,14,6206,740,16,1001,986,247,114,65,60,111,93,1394,4036,14731,5826,6402,4783
Holt,61673,9329,122,206,6693,36074,1644,50,251,191,80,9044,892,18,10208,1207,13,2051,1515,250,127,257,120,458,216,2012,2346,6973,3455,6626,1839
Hotham,66351,6455,220,206,6449,25821,678,18,163,86,58,9102,514,3,10738,639,0,2539,1470,223,120,339,100,367,187,3655,10955,11520,3682,5520,6491
Hughes,60169,7160,162,196,5052,27622,911,68,118,65,30,8250,638,12,10405,929,9,1006,970,180,90,77,44,160,74,983,1559,7667,2908,2836,3927
Hume,57081,9712,162,257,5918,27499,1486,277,256,93,51,6208,729,29,9435,1174,24,948,1088,264,112,45,62,136,86,1257,1914,10174,4240,5374,4545
Hunter,54092,11396,187,276,7603,26059,1647,243,424,130,57,5515,743,36,8716,1078,15,977,950,373,168,69,63,117,91,1393,2947,13347,5651,5778,6657
Indi,50518,10736,137,171,5708,21859,1366,83,232,65,47,4856,526,16,5655,564,10,799,518,186,87,30,39,73,70,845,3010,16017,7035,6485,6589
Isaacs,55739,9362,227,299,5974,25513,762,24,113,79,59,7695,663,8,8414,690,0,1319,880,209,98,124,78,258,102,1118,3562,14047,3780,4887,4072
Jagajaga,56009,8481,208,259,5662,24388,718,31,157,45,31,8389,528,13,9144,644,0,1388,665,194,102,107,35,151,71,1161,3516,11554,3532,3880,4300
Kennedy,50767,14057,93,168,7188,27673,1609,282,583,323,76,4365,504,34,7569,740,17,1422,893,401,142,159,121,274,222,1586,3674,14874,6265,10484,7767
Kingsford Smith,52151,13123,621,451,6131,23860,681,40,135,63,31,6568,433,3,8398,501,5,2673,1023,274,143,235,113,339,164,3708,16519,15977,4022,8581,9265
Kingston,57447,12385,141,311,8024,25583,1606,121,239,100,54,7032,880,15,8949,1075,11,1096,655,253,114,59,50,112,80,1284,3183,14495,4961,4375,3933
Kooyong,56920,8111,361,245,4788,23732,553,0,56,72,27,11368,536,0,6781,347,3,1837,702,110,59,171,64,243,81,1617,7234,13841,3822,4778,6375
La Trobe,55725,9935,144,223,6073,30714,1367,78,226,88,41,8299,929,22,8439,1092,6,1263,1051,142,67,80,42,234,109,1263,2228,8485,3516,4875,2637
Lalor,65199,9087,286,276,7352,38063,1450,37,332,201,108,8278,767,14,9712,1016,9,2266,1439,231,108,344,105,488,198,2242,3160,8801,3717,6835,3089
Leichhardt,43839,16590,407,352,8266,27748,1497,151,744,334,91,4618,543,14,6917,800,10,1621,1042,439,194,205,205,489,410,1927,6402,15677,6073,10837,9036
Lilley,50131,12199,477,473,6351,23618,1104,72,144,109,59,5685,626,13,7163,643,5,2190,858,235,104,159,90,241,103,2115,6692,15620,3932,4449,4567
Lindsay,56201,11178,173,313,8737,30768,1643,242,383,175,61,7072,774,35,11846,1371,13,1715,1471,368,141,125,106,298,132,1908,3222,11171,4078,6637,4163
Lingiari,29296,10002,119,203,4745,20460,1050,167,1269,1132,167,2518,312,10,5569,680,10,1526,963,793,209,446,374,1085,1107,1406,2631,6653,4441,9293,11757
Longman,55256,12617,133,276,7886,27552,2348,144,362,163,89,5691,934,21,8519,1326,10,1222,1267,303,127,79,58,154,141,2215,4125,11269,5093,6773,4414
Lyne,55091,9569,150,179,6520,20213,1203,262,421,127,56,4676,535,43,6868,693,20,814,874,331,135,47,55,100,70,1165,2962,15509,5966,5961,4853
Lyons,35221,9016,145,174,4608,15420,1124,147,228,90,35,3309,472,13,4816,558,9,534,410,182,71,24,32,62,66,628,1735,10809,4664,4518,3038
Macarthur,57196,9275,138,242,8720,31272,1482,273,449,221,91,7834,764,35,12866,1325,9,1732,1621,365,148,154,98,361,147,1733,2346,8695,3801,6180,2433
Mackellar,58962,8778,141,219,4760,26304,873,39,92,35,46,7635,582,4,8264,722,6,978,967,174,94,73,38,143,96,1883,2712,10837,3694,4693,4775
Macnamara,43269,18772,1684,769,4016,17462,346,5,7,34,9,4569,209,0,3704,111,0,2432,191,51,20,201,8,40,67,1715,15835,26567,4791,12179,7433
Macquarie,51466,9388,342,478,6006,23541,1302,199,241,76,39,6260,708,25,8779,959,21,829,909,259,114,42,50,112,87,1267,2860,11770,3949,4885,4479
Makin,63182,10606,149,225,7714,27103,1309,98,216,104,60,7939,819,19,10010,1035,10,1578,831,224,95,114,57,237,109,1499,3833,14283,4700,3920,4888
Mallee,53467,10048,98,129,6152,22985,1377,119,309,118,68,5320,607,26,6679,530,15,982,482,238,93,68,52,109,111,1050,3762,18474,6461,8235,5639
Maranoa,51279,10861,67,115,5724,24959,1495,117,335,105,59,3600,465,10,5857,572,5,993,609,260,116,78,52,104,111,1267,3250,15277,6697,8518,6302
Maribyrnong,54280,10139,572,408,5822,23429,630,23,82,92,80,7878,448,3,8660,516,9,2447,760,215,121,252,120,264,153,1923,8508,15453,4026,6921,3814
Mayo,62214,11784,180,294,5788,25244,1424,136,153,58,33,6978,809,25,6985,761,17,799,579,164,52,20,22,77,39,911,2371,14155,6403,5511,4842
McEwen,52637,10469,203,250,5763,28268,1307,56,246,99,60,7063,749,10,8319,919,9,943,831,164,92,68,68,160,103,1054,1765,8307,3805,5802,2952
McMahon,61291,5316,89,114,8163,31047,913,83,256,228,84,9582,535,17,16115,980,12,2586,1734,332,138,285,161,423,213,2151,2882,8479,3525,5754,2210
McPherson,51233,11542,184,234,7277,23959,1217,79,203,77,53,6020,687,6,7482,889,8,1225,1021,236,123,94,57,149,95,1988,6102,12828,4467,6612,5426
Melbourne,34678,20584,1861,913,4413,13510,432,13,99,64,25,3538,269,3,3444,227,0,4405,389,124,68,544,105,210,167,3638,36859,27384,5662,13544,11828
Menzies,64694,5608,112,156,5095,23404,590,12,103,58,46,10382,640,8,10369,611,4,1280,1126,140,72,84,58,254,88,1418,2296,8942,3381,3506,4131
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,408
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,133
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,68
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,425
Mitchell,68814,4737,128,152,4528,31296,935,86,104,72,27,10141,683,18,10480,856,5,1099,1480,166,70,92,58,285,81,1157,2034,6230,2345,2484,2814
Monash,49914,10141,94,189,5769,21692,1188,83,109,48,24,5178,534,8,6422,655,4,748,480,72,31,18,0,11,57,879,2470,15321,6746,6764,4217
Moncrieff,49564,14324,423,268,7469,20304,1162,46,147,89,44,5370,612,7,7083,802,7,1740,1034,180,86,127,61,140,127,2836,11692,18653,5093,10402,7208
Moore,58048,8719,95,163,4747,24599,992,78,137,46,27,8440,740,4,8522,797,3,1058,637,166,63,61,27,98,44,1008,2489,8142,3174,3306,3826
Moreton,54934,9402,318,397,5990,25392,928,45,192,118,82,7697,484,4,7544,540,4,2516,1105,240,114,303,114,352,214,5387,11776,11476,4423,5390,4483
New England,50751,10560,104,216,6920,24535,1410,207,409,153,62,4516,507,39,6458,613,8,1093,641,320,147,75,62,138,66,1312,3949,16363,6534,8298,7723
Newcastle,47124,11778,326,475,6979,23213,978,123,282,80,54,5620,595,33,7164,707,12,1515,647,268,148,86,60,140,97,1766,9793,16985,5164,3506,7237
Nicholls,52025,9924,98,120,6352,23660,1318,48,269,66,18,5695,512,6,7224,550,0,821,451,111,22,35,11,74,48,1020,3390,15218,6516,7803,5740
No usual address (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,127
No usual address (NSW),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9716,0,2568
No usual address (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,611
No usual address (OT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,12
No usual address (Qld),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9638,0,2876
No usual address (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2332,0,528
No usual address (Tas.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,150
No usual address (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5926,0,1641
No usual address (WA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4333,0,1616
North Sydney,58569,12265,627,344,4588,24849,661,14,46,35,29,7028,404,8,5350,356,0,1814,634,110,69,135,58,211,92,1781,7410,17306,3465,6837,6451
O'Connor,50318,13397,72,153,5511,25413,1545,115,531,174,60,3807,538,24,6142,703,5,1010,585,305,106,102,77,201,132,1095,3101,15212,7566,9692,8625
Oxley,55824,10534,203,315,7998,32547,1802,133,396,239,128,8253,868,17,9411,1042,15,2134,1356,278,129,221,128,418,178,2332,3841,9158,4172,7353,5710
Page,53024,11801,232,282,7912,23688,1306,250,412,163,75,5263,649,51,7621,762,5,1228,935,331,142,64,71,161,116,1681,4337,16993,6258,8335,4966
Parkes,47273,11478,82,148,7536,25442,1316,245,658,270,86,3830,447,31,7070,573,15,1156,717,520,214,125,92,201,159,1322,3016,16441,6530,10056,6721
Parramatta,71499,5685,281,224,6746,32584,738,43,172,122,74,8432,415,0,10599,594,5,3124,1792,209,87,472,155,511,206,4018,8171,12611,3449,8467,4833
Paterson,54088,11543,147,284,7822,26319,1736,289,418,120,61,5533,796,29,8553,1023,11,1082,895,361,173,72,55,135,82,1324,2990,13713,5429,6077,4470
Pearce,62411,15277,197,316,7538,35900,1936,204,334,175,79,7817,906,19,8278,1119,11,1536,1084,214,75,126,60,203,99,1687,3150,10566,4774,9273,6392
Perth,47113,13142,877,541,4802,19117,702,29,94,57,34,5158,418,4,5729,467,8,1907,571,167,73,209,83,218,90,2069,9702,18041,4055,8395,7208
Petrie,55857,12437,222,406,8128,28328,1994,120,291,135,82,6026,860,11,8387,1067,9,1618,1143,262,134,153,67,215,125,1905,4259,14332,4235,5876,4594
Rankin,59027,11748,137,252,9319,35778,1895,116,438,272,129,8031,879,15,11163,1161,11,2319,1632,355,147,291,130,476,208,3203,5287,9576,4439,7820,2915
Reid,65912,9412,420,382,5901,24857,544,24,85,58,52,8301,456,7,9281,481,0,2793,1465,214,110,373,103,416,163,5269,12855,12873,3644,8518,6360
Richmond,49967,11706,253,304,7365,21839,1001,118,216,87,40,5110,551,17,6934,645,13,1016,947,265,129,53,44,97,94,1923,5706,16678,5579,8789,5422
Riverina,52647,10187,86,213,6660,26150,1409,187,347,128,53,4937,544,32,7031,640,13,1121,594,308,132,67,47,101,77,1065,3709,16187,5724,7311,8088
Robertson,50985,9540,243,288,6811,22183,1037,91,224,93,43,5921,611,17,8179,892,12,1006,955,253,110,47,64,100,82,1390,3591,14987,4554,4652,4130
Ryan,53644,9334,319,286,4717,25100,936,24,92,54,32,8194,632,5,5841,512,3,1851,652,114,56,144,44,150,106,2118,11452,10647,4010,4225,8148
Scullin,62443,6255,151,170,6934,28816,812,28,206,121,67,8439,529,5,12601,833,9,2001,1407,272,92,248,85,311,197,1951,3656,8476,3213,5324,2235
Shortland,53508,9904,148,225,7243,22975,1289,182,310,86,49,6050,667,21,8599,967,13,890,917,355,155,60,48,122,76,1239,2878,13752,4892,3307,3555
Solomon,30974,10922,216,210,3859,18021,972,164,218,115,97,3191,421,12,3943,593,5,1136,594,178,87,138,72,249,106,2212,5178,7678,3468,8041,5194
Spence,51158,13044,192,227,10897,31656,1984,167,338,201,42,7405,813,15,10195,1191,4,1729,1121,267,65,132,36,182,72,1910,4203,16141,5619,7055,3648
Stirling,51567,10261,285,264,5764,22562,799,37,184,100,44,6085,528,6,6901,509,0,2124,729,240,97,279,75,266,124,2081,6045,16214,3793,6171,3881
Sturt,66562,8890,278,266,6661,25929,850,55,127,69,39,9445,702,4,8545,552,7,1780,727,172,101,124,39,174,95,1696,6194,19575,4716,4008,6035
Swan,49257,12351,392,393,5509,21744,840,34,185,100,62,5344,478,3,6039,546,8,3175,736,188,110,370,97,277,115,3797,12198,17455,4547,9568,7284
Sydney,36328,22234,5327,1420,3962,11507,367,16,90,60,22,2484,221,7,3151,233,6,3447,451,140,80,414,103,210,147,6291,34566,29221,5495,16501,15689
Tangney,55324,6221,79,123,4694,22037,718,35,133,59,27,8947,593,7,7597,508,9,1487,707,175,66,110,48,235,79,1512,3429,10295,3051,3253,4478
Wannon,52735,10594,144,173,5667,23206,1215,119,237,53,47,5333,607,24,6804,643,7,901,427,206,89,35,31,74,97,838,3663,16918,6506,6889,6711
Warringah,53182,12144,349,271,4348,25452,704,29,50,40,26,7016,437,10,5573,427,5,1093,574,135,63,83,46,131,49,1561,5300,13860,3437,6199,4739
Watson,63753,4550,211,266,7580,31958,820,37,156,121,91,10116,524,5,13748,653,4,2750,1667,282,124,412,170,548,270,3451,6533,10218,3553,7179,3083
Wentworth,42027,14173,1315,474,3881,19533,570,11,28,28,18,5201,349,0,3943,237,0,1308,386,99,68,99,49,107,56,1667,11667,17427,3832,10922,6481
