HEAP - 1 Digit Level,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable
Corio,4010,2773,15896,10870,20993,36562,130,13291,3541,13841,26371
Cowan,2581,1566,13730,10175,21380,44178,95,7950,4990,9559,31331
Cowper,2628,1934,12997,11273,25861,39968,268,14583,4883,17525,27400
Cunningham,7441,2738,19369,11834,21861,36431,134,11761,5124,11538,27152
Curtin,12575,4436,35015,10691,8940,28586,27,3892,3045,10820,25063
Dawson,2000,1505,11236,8575,27061,43263,111,10653,3091,16397,29940
Deakin,7282,3820,22956,13407,18305,36966,76,9330,4182,8878,28301
Dickson,3996,2721,16752,12668,23261,41142,66,6589,3367,8069,32775
Dobell,2314,1431,10959,10946,26024,41151,173,12647,4441,14031,29956
Dunkley,3253,2514,14346,12898,24042,39700,129,9875,3762,12732,28833
Durack,2062,1802,12294,9675,29887,48853,136,9750,4125,25587,37587
Eden-Monaro,4749,2741,14562,10777,22277,36400,134,10335,3820,15107,26633
Fadden,3866,1702,14399,13304,25498,46090,86,7855,4582,14680,31196
Fairfax,3507,2463,15622,12556,24472,38875,79,7265,3788,11616,27286
Farrer,2071,1771,11544,9498,25016,43171,191,16245,4242,18830,31391
Fenner,10555,3744,22183,10805,13405,30576,87,4898,3153,7211,30030
Fisher,2999,2121,13899,11842,24596,40505,85,8483,3898,11731,25947
Flinders,2689,2559,12625,11851,22397,35442,120,10130,3648,12625,23048
Flynn,1368,1250,9080,7427,26654,44055,138,11880,3122,16214,34296
Forde,2242,1489,10982,11348,27666,48162,120,9723,4294,12336,37182
Forrest,1893,1839,12241,9801,24878,41024,62,8024,3809,13754,30447
Fowler,2817,708,13307,9892,14348,50107,180,17744,10565,13247,31328
Franklin,3110,1916,10957,7274,14218,26313,60,6559,2584,7666,18399
Fraser,3848,1558,16730,10889,16781,48347,64,18301,7571,14181,29568
Fremantle,5768,2994,20650,11152,20037,36588,44,7574,4064,12101,27764
Gellibrand,9953,4055,26738,12422,15898,36754,89,10616,4467,11384,33437
Gilmore,3199,2344,12205,11219,26360,36395,188,13112,4729,16461,24228
Gippsland,1818,2043,9840,9417,24890,36803,155,13956,3272,17087,25289
Goldstein,11177,4671,31736,12561,9635,31034,32,6261,3532,9222,27761
Gorton,3684,1683,15260,11402,21060,44005,140,12065,4985,13169,40900
Grayndler,15067,4137,34600,11411,10018,27414,34,6627,4276,12620,23311
Greenway,9687,2011,23962,12788,17601,40648,97,9351,4950,10401,38566
Grey,1276,1420,9211,8524,26877,52266,140,16136,3774,18659,30739
Griffith,11059,4395,32554,11645,14094,33151,48,4617,3046,11177,23927
Groom,3655,2040,14096,9511,22292,39834,109,10902,3242,12695,30474
Hasluck,3352,2016,13830,10606,21627,40391,65,7439,4116,13091,27090
Herbert,3269,1901,14311,9911,26255,45684,123,8830,3050,13814,32852
Higgins,15601,5242,41496,12299,8677,31012,33,5717,3600,11316,23260
Hindmarsh,4795,2323,18234,11880,22304,47003,102,12754,4924,11475,24829
Hinkler,1569,1415,9006,8236,23899,41978,166,13935,3556,14551,24811
Holt,4113,1563,13582,12725,22957,42788,166,11064,5187,11222,40455
Hotham,11219,3074,29027,13522,14185,44609,73,13144,6011,11892,28211
Hughes,5799,2307,19004,13075,20999,34299,61,6905,4894,7020,29925
Hume,3055,1725,11628,11139,26135,37956,125,10787,4185,12436,31465
Hunter,2354,1366,10061,9732,28918,39936,195,15033,4249,14287,30658
Indi,2354,2620,11548,11185,24082,35811,135,12527,3388,14968,25765
Isaacs,6057,3187,21109,12942,17133,36904,106,9541,4666,10465,27984
Jagajaga,8247,4398,23754,11721,16254,33107,54,8724,3525,8883,26629
Kennedy,1627,1327,9578,8259,26244,45977,138,13758,3581,19632,34204
Kingsford Smith,14374,2829,33999,12613,14199,41800,47,7764,5161,16774,26669
Kingston,2644,1875,13099,11965,28199,48289,102,8804,4200,10234,29311
Kooyong,15863,5573,38809,11411,7205,31577,30,5934,3439,9113,25881
La Trobe,3871,2209,13946,12395,22730,37880,73,9379,3449,9222,34177
Lalor,8478,2110,18690,13116,20193,41700,158,11024,4669,12300,42438
Leichhardt,3604,2264,15565,11932,25298,42292,179,8459,4228,19311,34349
Lilley,5913,3076,22456,12317,19419,38693,75,7563,3584,10570,26513
Lindsay,3856,1420,12490,11066,25407,46557,141,12561,4582,13120,35327
Lingiari,2006,1398,7380,5373,14320,26362,273,10896,3481,21200,27693
Longman,1544,1435,8901,10882,28353,47134,139,11215,3869,14193,32937
Lyne,1959,1550,9798,9962,25607,37052,193,15206,4605,15606,23935
Lyons,1165,861,5858,5758,16299,30481,94,10184,2508,10403,18528
Macarthur,3980,1298,12863,11209,22600,45997,172,11438,5116,11436,35903
Mackellar,6925,2627,23742,14638,17223,33202,84,5883,5373,10108,28813
Macnamara,16625,5523,43591,13442,10623,31082,4,4881,3866,17682,19761
Macquarie,5469,2742,15821,12209,22583,33251,87,8436,4223,9684,26930
Makin,3995,1942,15043,12074,26215,50596,129,10913,5120,10678,30332
Mallee,1293,1741,9327,8956,22643,42014,174,18533,3557,18331,27290
Maranoa,1268,1189,9177,8194,21570,43161,122,14692,3236,16646,30010
Maribyrnong,9352,4123,28153,12028,14128,36066,84,10822,4578,12677,25973
Mayo,4563,3018,17345,12961,24110,42811,98,8738,4246,12212,28855
McEwen,3040,2579,12915,11484,23224,34931,113,8663,3171,10236,31908
McMahon,3730,1036,14257,10794,18187,47840,143,15339,8465,11502,34402
McPherson,4211,2092,16592,13037,23215,41192,78,6931,4064,12711,27462
Melbourne,20885,5587,52501,12568,8595,42282,69,5252,4408,21039,15834
Menzies,9079,3817,27053,12398,13259,35603,43,9311,4307,8628,25292
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (NSW),9,0,33,29,59,121,0,43,16,77,39
Migratory - Offshore - Shipping (NT),0,0,15,5,18,8,0,0,4,13,4
Migratory - Offshore - Shipping (OT),0,0,0,0,6,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),0,0,3,15,23,59,0,23,3,28,9
Migratory - Offshore - Shipping (SA),0,0,0,0,0,3,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,7,7,23,27,0,0,0,6,0
Migratory - Offshore - Shipping (Vic.),0,0,4,4,13,3,0,0,0,5,4
Migratory - Offshore - Shipping (WA),9,6,36,59,133,94,0,3,13,83,0
Mitchell,10558,2610,26965,13428,14586,34329,43,6207,4962,6314,33442
Monash,1957,2213,10025,9732,24433,35647,58,13567,3194,14596,25415
Moncrieff,5079,2073,19977,14503,23431,47479,84,7593,4685,18204,23971
Moore,4411,2797,19695,12551,20487,37546,45,4552,3702,7515,26960
Moreton,11849,3478,29782,11788,14599,40407,88,7049,4326,10314,28312
New England,3266,1766,11730,9096,22787,39521,200,14682,4111,17297,29732
Newcastle,6715,2546,21609,11293,21779,37370,128,10492,3987,11089,25948
Nicholls,1550,1914,9300,9304,22786,39758,81,16505,3691,17159,28010
No usual address (ACT),40,11,76,32,52,152,0,23,10,115,37
No usual address (NSW),369,118,1250,662,1412,2946,15,824,332,3611,741
No usual address (NT),54,36,183,124,320,467,5,162,86,856,204
No usual address (OT),0,0,13,9,3,15,0,0,0,9,9
No usual address (Qld),266,118,1148,781,1901,3335,18,900,374,2854,824
No usual address (SA),59,23,214,145,406,781,0,238,99,680,217
No usual address (Tas.),29,11,72,58,121,251,4,71,24,203,81
No usual address (Vic.),237,93,792,403,778,1679,15,479,212,2133,747
No usual address (WA),119,50,522,310,967,1426,0,307,175,1675,393
North Sydney,19354,4337,43115,12712,7493,27862,35,4234,4409,10582,27395
O'Connor,1747,1664,10392,8780,23773,45990,109,10289,3877,18647,31046
Oxley,5368,2159,17372,11609,20098,44578,121,8340,4848,14836,37840
Page,2457,1984,12734,10141,25934,41027,211,15099,4611,16791,28125
Parkes,1722,1369,10069,7738,21953,40353,197,16155,3520,19295,31393
Parramatta,16197,2427,32519,13286,13294,41922,85,9577,6990,14031,35998
Paterson,2092,1331,9668,10259,28687,40488,194,14668,4119,13148,30967
Pearce,2781,1798,13781,13413,29550,50703,80,7176,4648,16172,41654
Perth,8610,3701,29283,12057,15863,34743,53,6465,4048,14824,21447
Petrie,3667,2108,15206,12699,25096,45036,108,9771,3948,12669,32964
Rankin,5080,1668,16056,11747,23567,51056,162,10303,5330,12702,41498
Reid,16750,3098,38153,13914,11432,40939,44,8408,6274,15033,27300
Richmond,3450,2271,15501,11875,23471,38382,133,10874,4438,17080,25434
Riverina,2233,1526,11608,8672,24210,40992,195,15160,3937,16556,30697
Robertson,3853,2002,15067,11908,22479,36272,115,9857,4531,11918,25101
Ryan,14099,4548,33035,11332,11798,36134,29,3646,2811,8396,27618
Scullin,5176,1720,16056,11501,17610,42512,101,15226,5619,10937,31597
Shortland,2916,1742,12968,10298,25631,36807,165,13026,4257,10398,26267
Solomon,4277,2118,13448,7459,15228,24709,87,4579,2551,11823,22013
Spence,1336,799,7528,8956,26111,55826,130,14655,5830,13862,37382
Stirling,5738,2741,23064,11989,16814,37340,86,8102,5040,11722,25340
Sturt,11213,4179,31396,13317,16377,43881,57,10533,4895,10230,28359
Swan,8785,3171,27500,12562,17247,41355,83,6859,4412,16192,25033
Sydney,22925,4189,54601,15754,10519,42192,55,4525,4981,26732,13707
Tangney,7620,3310,25549,11317,13100,33726,36,5464,3720,8212,23980
Wannon,1843,2149,10997,9762,23422,39670,128,15943,3266,16880,26968
Warringah,12870,3479,34066,12786,10378,26988,37,4064,4336,10319,28008
Watson,8181,1658,22158,11837,13404,48068,59,13457,8001,12772,35210
Wentworth,15044,3334,39478,10920,7330,24938,14,3090,3760,15658,22384
Werriwa,4088,993,14956,11302,17863,48926,140,13435,7467,12652,39092
Whitlam,3031,1654,11081,10926,26062,39531,145,13432,4958,12399,29065
Wide Bay,2033,1642,10087,9980,23492,40365,129,11494,3703,15054,24716
Wills,11204,4488,28247,10887,12989,33157,72,12596,4797,11956,24559
Wright,2371,1593,10794,10645,25946,43568,100,10577,3819,14108,32906
