Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by MDCP Social Marital Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"MDCP Social Marital Status","Married in a registered marriage","Married in a de facto marriage","Not married","Not applicable","Total",
"Maribyrnong",57942,9455,58455,40569,166420,
"McEwen",77124,15670,53863,63878,210529,
"McMillan",57533,13345,46339,50111,167327,
"Melbourne",39755,25368,92884,50586,208588,
"Melbourne Ports",41660,20422,57635,40986,160704,
"Menzies",59545,5550,40368,32071,137534,
"Murray",50310,10135,40868,44049,145367,
"Scullin",66217,8250,50684,42817,167967,
"Wannon",46035,9938,38148,39645,133777,
"Wills",52011,15878,60566,41193,169648,
"No usual address (Vic.)",0,0,0,7572,7572,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,26,26,
"Blair",47200,14110,45452,49555,156321,
"Bonner",54664,10442,44497,40034,149634,
"Bowman",56183,11194,41361,38278,147011,
"Brisbane",43349,18063,59053,43425,163890,
"Capricornia",47991,12554,38261,51914,150717,
"Dawson",50056,13391,40841,52021,156313,
"Dickson",55958,11280,38185,40794,146216,
"Fadden",57225,15081,49266,48024,169599,
"Fairfax",55214,12618,42620,43015,153467,
"Fisher",50834,11137,39493,38707,140168,
"Flynn",51524,13696,36678,53588,155484,
"Forde",53510,15050,47035,49941,165537,
"Griffith",45405,16504,53986,41711,157606,
"Groom",51727,10032,41113,45991,148864,
"Herbert",44939,16094,47032,51934,159999,
"Hinkler",50348,10793,40983,39598,141717,
"Kennedy",47469,14019,42040,51861,155394,
"Leichhardt",45585,18699,51745,59420,175451,
"Lilley",52150,13777,50147,39308,155380,
"Longman",54445,13843,45363,46944,160600,
"Maranoa",50796,11530,38348,48592,149264,
"McPherson",50661,12534,46290,42096,151575,
"Moncrieff",46872,15157,55784,42922,160732,
"Moreton",53515,10175,53971,40409,158070,
"Oxley",53700,11472,46799,51233,163207,
"Petrie",55155,13764,48694,45659,163268,
"Rankin",58100,13060,54199,53809,179171,
"Ryan",54651,10337,47252,43103,155348,
"Wide Bay",50554,11573,40913,41058,144096,
"Wright",56713,12757,39646,47318,156442,
"No usual address (Qld)",0,0,0,12515,12515,
"Migratory - Offshore - Shipping (Qld)",0,0,0,152,152,
"Adelaide",50345,12306,58090,42692,163440,
"Barker",53138,11629,41458,43283,149501,
"Boothby",55406,9774,44433,36219,145832,
"Grey",46726,12246,39799,44749,143524,
"Hindmarsh",52857,10898,52701,34794,151244,
"Kingston",50375,13087,44820,39627,147907,
"Makin",56472,10441,44721,37878,149515,
"Mayo",55745,10899,35774,37946,140368,
"Port Adelaide",51565,12808,58394,42322,165088,
"Sturt",57364,7985,48206,35607,149159,
"Wakefield",52257,13954,52143,49859,168207,
"No usual address (SA)",0,0,4,2862,2862,
"Migratory - Offshore - Shipping (SA)",0,0,0,8,8,
"Brand",52539,15087,42367,54032,164025,
"Burt",59573,11873,48227,49106,168783,
"Canning",52321,12475,37375,43853,146016,
"Cowan",53828,10191,42595,40918,147537,
"Curtin",49581,10437,42318,40755,143092,
"Durack",45570,18460,40474,77258,181762,
"Forrest",50831,12584,36028,48330,147770,
"Fremantle",50366,13116,43480,41784,148741,
"Hasluck",50423,11022,41082,41096,143625,
"Moore",57643,9382,37059,36181,140262,
"O'Connor",49876,14071,38651,53723,156319,
"Pearce",61821,16384,44486,59081,181766,
"Perth",46722,14955,49722,39693,151089,
"Stirling",51054,11326,48055,37551,147993,
"Swan",48815,13582,56449,44354,163199,
"Tangney",54979,6769,40497,33799,136035,
"No usual address (WA)",0,0,0,5950,5950,
"Migratory - Offshore - Shipping (WA)",0,0,0,431,431,
"Bass",32484,8248,31315,29344,101389,
"Braddon",32526,8482,28444,27606,97058,
"Denison",29899,9451,35211,28000,102574,
"Franklin",36917,9563,28941,29020,104446,
"Lyons",35574,9770,28478,29693,103509,
"No usual address (Tas.)",0,0,0,911,911,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,75,75,
"Lingiari",27179,10205,30001,47153,114543,
"Solomon",32145,12405,30698,38875,114116,
"No usual address (NT)",0,0,0,2485,2485,
"Migratory - Offshore - Shipping (NT)",0,0,0,73,73,
"Canberra",67071,15459,55773,57739,196042,
"Fenner",69285,17268,58560,57838,202954,
"No usual address (ACT)",0,0,0,541,541,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,
"No usual address (OT)",0,0,0,54,54,
"Migratory - Offshore - Shipping (OT)",0,0,0,4,4,
"Total",8001138,1751733,7024969,6624043,23401891,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
